LIN #,NSN,MPO DESCRIPTION,NSN DESCRIPTION,COMMON NAME,SERIAL,Property Book,Location,MOS,Assigned To,STATUS,SI,NOTES,
80506N,846501C123495,"BACK PACK W/WO FRAME, TY SZ AA","BACK PACK W/WO FRAME, TY SZ AA: NICE CRE",MULTI CAM RUCK,,YES,C Room,C,,IN,NO,,
80506N,846501C123495,"BACK PACK W/WO FRAME, TY SZ AA","BACK PACK W/WO FRAME, TY SZ AA: NICE CRE",MULTI CAM RUCK,,YES,C Room,C,,IN,NO,,
80506N,846501C919382,"BACK PACK W/WO FRAME, TY SZ AA","BACKPACK, OSPREY FLARE DAYPACK",LITTLE BLUE DAY PACK,,YES,C Room,C,,IN,NO,,
80506N,846501C919382,"BACK PACK W/WO FRAME, TY SZ AA","BACKPACK, OSPREY FLARE DAYPACK",LITTLE BLUE DAY PACK,,YES,C Room,C,,IN,NO,,
80506N,846501C919382,"BACK PACK W/WO FRAME, TY SZ AA","BACKPACK, OSPREY FLARE DAYPACK",LITTLE BLUE DAY PACK,,YES,C Room,C,,IN,NO,,
80506N,846501C919382,"BACK PACK W/WO FRAME, TY SZ AA","BACKPACK, OSPREY FLARE DAYPACK",LITTLE BLUE DAY PACK,,YES,C Room,C,,IN,NO,,
80506N,846501Y021305,"BACK PACK W/WO FRAME, TY SZ AA","PACK: OSPREY AETHER 60, MIDNIGHT BLUE LG",DARK BLUE MTN PACK,,YES,,C,Jered,IN,NO,,
80506N,846501Y021305,"BACK PACK W/WO FRAME, TY SZ AA","PACK: OSPREY AETHER 60, MIDNIGHT BLUE LG",DARK BLUE MTN PACK,,YES,,C,Kam,IN,NO,,
80506N,846501Y021305,"BACK PACK W/WO FRAME, TY SZ AA","PACK: OSPREY AETHER 60, MIDNIGHT BLUE LG",DARK BLUE MTN PACK,,YES,C Room,C,,IN,NO,,
80506N,846501Y021305,"BACK PACK W/WO FRAME, TY SZ AA","PACK: OSPREY AETHER 60, MIDNIGHT BLUE LG",DARK BLUE MTN PACK,,YES,,C,Bret,IN,NO,,
,,,,,,,,,,,,,
92532N,513001V001456,"DRILL ELECTRIC PORTABLE, CORDLESS W/BATT","DRILL, ELECTRIC, CORDLESS, BOSCH GSR 18V-2",,N/A,YES,,C,,OUT,NO,,
,,,,,,,,,,,,,
BA5000,1550016817888,UNMANNED AERIAL VEHICLES AND FLIGHT COMP,UNMANNED AERIAL VEHICLES AND FLIGHT COMP,BLACK HORNET DRONE,ABST002199,YES,C Room,C,,,,,
BA5000,1550016817888,UNMANNED AERIAL VEHICLES AND FLIGHT COMP,UNMANNED AERIAL VEHICLES AND FLIGHT COMP,BLACK HORNET DRONE,ABST002139,YES,C Room,C,,,,,
,,,,,,,,,,,,,
C05002,5810016444375,"TRANSFER UNIT,  CRYPT","TRANSFER UNIT,CRYPTOGRAPHIC KEY",SKL,312653,YES,Safe,E,,OUT,YES,,
,,,,,,,,,,,,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,,C,Jered,OUT,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,,C,Bret,OUT,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,,C,Justin,OUT,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,,C,Kam,OUT,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,C Room,C,,IN,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,,C,Paul,OUT,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,,C,Noel,OUT,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,C Room,C,,IN,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,,C,Theo,OUT,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,C Room,C,,IN,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,C Room,C,,IN,NO,,
DA151M,841501F900235,HELMET,HELMET FAST BASE JUMP SPORT M/L,,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA151M,841501C926406,CAP,"CAP: CRYE PRECISION NIGHTCAP, MULTICAM",CRYE SKULLCRUSHER,,YES,C Room,C,,OUT,NO,,
DA151M,841501C926407,CAP,"CAP: CRYE PRECISION NIGHTCAP, MULTICAM",CRYE SKULLCRUSHER,,YES,C Room,C,,IN,NO,,
DA151M,841501C926407,CAP,"CAP: CRYE PRECISION NIGHTCAP, MULTICAM",CRYE SKULLCRUSHER,,YES,C Room,C,,IN,NO,,
DA151M,841501C926408,CAP,"CAP: CRYE PRECISION NIGHTCAP, MULTICAM",CRYE SKULLCRUSHER,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA159A,841501C925984,GHILLIE SUIT,"GHILLIE SUIT: COMPACT ASSAULT, MC, LARGE",,,YES,C Room,C,,IN,NO,,
DA159A,841501C925984,GHILLIE SUIT,"GHILLIE SUIT: COMPACT ASSAULT, MC, LARGE",,,YES,C Room,C,,IN,NO,,
DA159A,841501F013431,GHILLIE SUIT,"GHILLIE SUIT: 89C5302, COBRA HOOD, MULTI",,,YES,C Room,C,,IN,NO,,
DA159A,841501F013431,GHILLIE SUIT,"GHILLIE SUIT: 89C5302, COBRA HOOD, MULTI",,,YES,C Room,C,,OUT,NO,,
,,,,,,,,,,,,,
DA6502,846501F011243,BELT DUTY,BELT DUTY: VTAC COBRA LARGE VIKING TACTI,,,YES,,C,Noel,OUT,NO,,
DA6502,846501F011243,BELT DUTY,BELT DUTY: VTAC COBRA LARGE VIKING TACTI,,,YES,C Room,C,,OUT,NO,,
DA6502,846501F011243,BELT DUTY,BELT DUTY: VTAC COBRA LARGE VIKING TACTI,,,YES,C Room,C,,IN,NO,,
DA6502,846501F011243,BELT DUTY,BELT DUTY: VTAC COBRA LARGE VIKING TACTI,,,YES,C Room,C,,IN,NO,,
DA6502,846501F011243,BELT DUTY,BELT DUTY: VTAC COBRA LARGE VIKING TACTI,,,YES,C Room,C,,IN,NO,,
DA6502,846501F011243,BELT DUTY,BELT DUTY: VTAC COBRA LARGE VIKING TACTI,,,YES,C Room,C,,IN,NO,,
DA6502,846501F011244,BELT DUTY,BELT DUTY: VTAC COBRA MEDIUM VIKING TACT,,,YES,,C,Theo,OUT,NO,,
DA6502,846501F011244,BELT DUTY,BELT DUTY: VTAC COBRA MEDIUM VIKING TACT,,,YES,C Room,C,,OUT,NO,,
DA6502,846501F011244,BELT DUTY,BELT DUTY: VTAC COBRA MEDIUM VIKING TACT,,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA6508,8465015571570,"FIELD, BUTT, & BACKPACKS ASSORTED","BAG, INDIVIDUAL EQUIPMENT, CARRIER",FJALLRAVEN,,YES,,C,Theo,IN,NO,,
